symptoms,label
"chest pain spreading to left arm and jaw",heart_attack
"shortness of breath with cold sweats and chest discomfort",heart_attack
"continuous fever with general malaise and decreased appetite",viral_fever
"fever with generalised weakness and mild headache",viral_fever
"fever returning after two to three days with chills and sweating",viral_fever
"low grade fever persisting for several days with fatigue",viral_fever
"high fever with swollen lymph nodes and fatigue",viral_fever
"blocked nose with reduced smell and taste",cold
"clear runny nose progressing to thick yellow discharge",cold
"mild throat discomfort with frequent sneezing and clear discharge",cold
"nasal congestion with facial pressure and mild headache",cold
"sore throat worse in the morning with stuffy nose and mild cough",cold
"abrupt onset of high fever with extreme fatigue and headache",influenza
"dry nonproductive cough with fever and severe muscle pain",influenza
"flu symptoms with high fever above 102F and profound tiredness",influenza
"sudden chills with high temperature and painful limbs",influenza
"severe flu with fever sweating and complete loss of appetite",influenza
"debilitating one-sided headache with aura and extreme light sensitivity",migraine
"intense throbbing headache with nausea and vomiting",migraine
"pulsating head pain with phonophobia and photophobia",migraine
"migraine preceded by visual zigzag lines and neck stiffness",migraine
"headache worsened by physical activity and light requiring dark room",migraine
"abdominal cramps with watery stools and nausea after eating out",food_poisoning
"frequent watery stools with severe stomach pain and mild fever",food_poisoning
"sudden onset of profuse vomiting and diarrhea causing dehydration",food_poisoning
"food poisoning with dizziness cold sweats and loose motions",food_poisoning
"nausea and severe stomach cramps starting a few hours after a meal",food_poisoning
"high fever with severe pain behind the eyes and nausea",dengue
"dengue fever with bleeding gums skin rash and severe headache",dengue
"sudden high fever with intense joint and muscle pain",dengue
"fever with thrombocytopenia signs skin bruising and fatigue",dengue
"high temperature with skin petechiae and retro-orbital pain",dengue
